study_hours,attendance,previous_score,assignments_completed,target
2.10,52.0,42.0,3.0,0
3.20,60.0,50.0,4.0,0
1.90,48.0,40.0,3.0,0
4.00,62.0,55.0,5.0,0
2.50,58.0,46.0,4.0,0
3.10,,49.0,4.0,0
2.80,54.0,44.0,3.0,0
4.20,65.0,57.0,5.0,0
1.70,45.0,39.0,2.0,0
3.50,59.0,52.0,4.0,0
6.50,82.0,75.0,7.0,1
7.20,88.0,80.0,8.0,1
8.00,92.0,85.0,9.0,1
6.80,84.0,76.0,7.0,1
7.50,90.0,82.0,8.0,1
8.20,94.0,87.0,9.0,1
6.90,86.0,78.0,7.0,1
7.80,91.0,84.0,8.0,1
,89.0,81.0,8.0,1
8.50,95.0,90.0,10.0,1
2.30,51.0,43.0,3.0,0
3.40,57.0,,4.0,0
2.00,49.0,41.0,3.0,0
4.10,63.0,56.0,5.0,0
7.10,87.0,79.0,8.0,1
8.10,93.0,86.0,9.0,1
6.70,83.0,77.0,7.0,1
7.60,90.0,83.0,8.0,1
3.00,55.0,48.0,4.0,0
2.60,53.0,45.0,3.0,0
